Iteration,MeanValue,BestValue,kelimination,kselection,meanMutation,meanCrossover,meanSwitches
0,670977.514,517869.30000000005,2,2,0.30545796756034876,0.8089750737269934,2
1,597226.9214999999,441148.50000000006,3,2,0.26338881297925576,0.8169790551785043,2
2,527393.80455,394785.30000000005,3,2,0.1744026386074701,0.8315424256127857,2
3,470532.52415,384252.11000000004,3,3,0.13245926594491622,0.8561682228919427,1
4,433581.80345,354167.93000000005,3,3,0.08980351772351951,0.8182927802596278,1
5,397067.8714,300617.9,3,3,0.06434110878568391,0.8133415649381008,1
6,374286.6164,291112.17,3,3,0.06768849149788467,0.8308631129797248,1
7,345796.0865,262614.4,3,3,0.07490759427779548,0.8168429882704248,1
8,321505.61035000003,248960.99999999997,3,3,0.14433770612385227,0.8227364306108891,1
9,293203.3682,243906.29999999996,3,3,0.11199580341596124,0.8194671266486101,2
10,273732.69045,228488.2,3,4,0.07259300348528873,0.799696237702593,2
11,267727.46985,197486.09999999995,2,4,0.09961480579301699,0.8000496999278711,2
12,248829.37174999996,180596.29999999996,3,4,0.09949647382202435,0.7394387102370793,1
13,224236.97889999996,179049.99999999997,3,4,0.07753586538576732,0.7069601866251467,1
14,193137.5061,172511.78999999998,3,5,0.09583286674078945,0.7110568398207435,0
15,180092.3504,170599.59,3,5,0.13617079547831598,0.7133961774752403,0
16,175910.83584999997,170115.19,3,4,0.15865929690079725,0.684523684110779,0
17,171456.65884999998,167762.18999999997,3,4,0.19066713683068978,0.6732517926127605,0
18,169857.8635,165561.09,3,4,0.1855720790517188,0.6739514291499059,0
19,167526.41700000002,163530.38999999998,3,4,0.16670953203699818,0.6996162501079469,0
20,165037.9865,163530.38999999998,4,3,0.17335892035602082,0.7215164862759694,0
21,163845.14849999998,163530.38999999998,4,4,0.17821375524546906,0.6987647077109769,0
22,163530.38999999996,163530.38999999998,4,3,0.19116402176172698,0.7022393433077181,0
23,163530.38999999996,163530.38999999998,4,3,0.21922464427846042,0.7163790079853388,0
24,163530.38999999996,163530.38999999998,4,3,0.18017517462370386,0.6757996485431184,0
25,163530.38999999996,163530.38999999998,4,3,0.2099643800914716,0.6464185992016915,0
26,163530.38999999996,163530.38999999998,4,3,0.218652572341167,0.6160683613355034,-1
